eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.16,-2.23,93,5.9115842e-05,0.0,2.7079823,6.26066e-05,0.40891263,0.0061702728271484375,1,256,175.31812902120873,16384
90.88,-2.53,93,0.00014444595,0.0,2.7077334,-0.00035217823,0.18486989,0.041071176528930664,2,512,350.4455740507692,32768
84.62,-2.57,93,0.0010995317,0.0005493164,2.7047853,-0.00068643433,0.16241173,0.0870850682258606,3,768,525.5287201520987,49152
87.31,-2.32,93,0.0019179733,0.0102335615,2.6969376,-0.0011947503,0.13815154,0.15640884637832642,4,1024,700.4214441920631,65536
88.8,-2.7,93,0.0010153402,4.0690105e-05,2.699054,-0.0009857448,0.14950146,0.254802942276001,5,1280,875.1375983078033,81920
87.05,-2.12,93,0.00117223,0.005391439,2.6949608,-0.0020499772,0.11590823,0.3795596957206726,6,1536,1049.732235668227,98304
84.27,-2.85,93,0.0015975899,0.0072631836,2.6961057,-0.0022586633,0.12904793,0.3984670639038086,7,1792,1224.5248372009955,114688
81.28,-2.54,93,0.0021491218,0.0151570635,2.68863,-0.004510991,0.11114115,0.49000561237335205,8,2048,1399.499796378892,131072
86.69,-1.52,93,0.0044771936,0.039449055,2.6839056,-0.0069596595,0.0876458,0.5558398962020874,9,2304,1574.4317165380344,147456
89.53,-1.78,93,0.003997977,0.03810628,2.6798458,-0.007097652,0.101483405,0.571722149848938,10,2560,1749.1710827760398,163840
89.27,-2.05,93,0.003991412,0.03938802,2.6697223,-0.006834974,0.10518613,0.6115120053291321,11,2816,1923.8819714267738,180224
83.62,-1.7,93,0.0030567704,0.024068197,2.6664262,-0.00691399,0.11344284,0.5966009497642517,12,3072,2099.102618982084,196608
84.5,-0.58,93,0.0054605133,0.06117757,2.6489534,-0.010992016,0.07319804,0.5986524820327759,13,3328,2273.9390107807703,212992
86.93,-1.52,93,0.005262535,0.059468586,2.630739,-0.010304942,0.084175326,0.6123497486114502,14,3584,2448.6546891191974,229376
81.89,-1.8,93,0.005409187,0.065450035,2.6083555,-0.009384704,0.090598576,0.6597139537334442,15,3840,2623.48646927299,245760
96.35,-0.41,93,0.00662652,0.08280436,2.6186182,-0.009451628,0.060549203,0.6558567881584167,16,4096,2798.200639285147,262144
87.97,-0.42,93,0.006353859,0.07661947,2.6013696,-0.013207776,0.055534374,0.6661774814128876,17,4352,2973.305680580903,278528
80.18,-0.45,94,0.006910607,0.09051514,2.589546,-0.011893119,0.06268438,0.6361503601074219,18,4608,3147.4447543551214,294912
80.7,-0.03,93,0.0066035925,0.081319176,2.5821965,-0.008095286,0.05985162,0.6071769297122955,19,4864,3321.949709407054,311296
82.44,-0.08,93,0.007059844,0.08858236,2.5675519,-0.013140931,0.05146663,0.6633851528167725,20,5120,3496.4809039481916,327680
86.68,0.07,93,0.0064106784,0.077311195,2.5730383,-0.012785143,0.050049532,0.6255224049091339,21,5376,3671.5051047699526,344064
81.92,-0.03,93,0.007513057,0.10144043,2.5725722,-0.013140305,0.05433026,0.6412349343299866,22,5632,3845.9943096539937,360448
84.9,0.31,93,0.009110718,0.11641439,2.5599155,-0.009469979,0.05094619,0.5842210352420807,23,5888,4020.6660665827803,376832
87.72,-0.09,93,0.0085225245,0.10555013,2.5502818,-0.012327737,0.04149826,0.7316775321960449,24,6144,4196.651071348228,393216
82.88,-0.13,93,0.008867403,0.11665853,2.556265,-0.0127503285,0.046601314,0.7332664132118225,25,6400,4372.12425952917,409600
84.73,0.52,93,0.008105178,0.10459391,2.5596325,-0.013383348,0.047756966,0.6400645673274994,26,6656,4546.7664616568945,425984
89.0,0.26,93,0.008709446,0.115987144,2.5284479,-0.015844353,0.05423918,0.7138443887233734,27,6912,4721.576223142911,442368
80.2,0.5,93,0.009132422,0.12471517,2.5166261,-0.0142339645,0.03955174,0.7564706057310104,28,7168,4896.893950699829,458752
89.1,0.77,93,0.007940686,0.1042277,2.4994123,-0.013475559,0.044666056,0.7129827439785004,29,7424,5071.322170740925,475136
79.89,0.7,93,0.009548814,0.12261963,2.5009444,-0.013454877,0.048898723,0.7637397050857544,30,7680,5246.169643936213,491520
80.73,0.8,93,0.010483745,0.13684082,2.4932995,-0.017320378,0.039449826,0.691804826259613,31,7936,5420.929173808079,507904
88.66,1.39,93,0.010546959,0.14182536,2.4993052,-0.01620485,0.0344243,0.7196841835975647,32,8192,5596.113986745011,524288
79.54,1.23,93,0.011107783,0.14707439,2.4773514,-0.015321686,0.037120104,0.74236860871315,33,8448,5771.044703463092,540672
85.0,0.99,93,0.010820787,0.13897705,2.490635,-0.017324824,0.041413438,0.767660990357399,34,8704,5946.0381051688455,557056
92.21,1.19,93,0.012132373,0.16831462,2.4845498,-0.01550991,0.04242912,0.7380294501781464,35,8960,6121.88489323901,573440
93.58,1.31,93,0.012618915,0.17445882,2.4737215,-0.019195242,0.037371434,0.7348189651966095,36,9216,6296.77437535394,589824
96.81,1.14,93,0.012329739,0.15913899,2.4727929,-0.013500769,0.04339124,0.711065798997879,37,9472,6471.8861659062095,606208
102.54,1.32,93,0.010942603,0.1488444,2.46116,-0.013056093,0.04385214,0.755034551024437,38,9728,6646.977975510061,622592
94.51,1.44,93,0.011207704,0.149882,2.448549,-0.02097378,0.033302106,0.8205288797616959,39,9984,6821.733771346044,638976
107.38,2.12,93,0.011584405,0.1593628,2.429603,-0.01816015,0.04817313,0.7659439593553543,40,10240,6996.736184213776,655360
104.14,1.92,93,0.010097054,0.13020833,2.399089,-0.010759249,0.0879272,0.724818080663681,41,10496,7171.462973786984,671744
106.47,2.08,93,0.012437762,0.16597493,2.3716526,-0.01758139,0.04500137,0.8354311585426331,42,10752,7346.266827962827,688128
110.58,1.91,93,0.0121696675,0.16178386,2.3880413,-0.018633064,0.04717536,0.7756140977144241,43,11008,7521.530493394937,704512
108.02,1.86,93,0.012370542,0.16481526,2.3800228,-0.01982937,0.04218097,0.8187100291252136,44,11264,7696.662981600035,720896
119.4,2.18,93,0.010879896,0.14872234,2.3705473,-0.012792268,0.08219194,0.728326827287674,45,11520,7871.872444037814,737280
113.02,2.27,93,0.012596682,0.16485596,2.3440773,-0.019671472,0.04756474,0.8130708932876587,46,11776,8047.006520437077,753664
123.2,2.38,93,0.012874231,0.16988118,2.365773,-0.018928757,0.04978427,0.8106078505516052,47,12032,8222.783274830785,770048
136.82,3.2,93,0.012871797,0.17114258,2.3662384,-0.012054729,0.15240975,0.5528085827827454,48,12288,8397.62577014789,786432
112.57,3.12,93,0.011281065,0.1494751,2.3246882,-0.013300169,0.09221173,0.7467731237411499,49,12544,8572.46249269601,802816
123.86,3.24,93,0.009910931,0.124572754,2.317716,-0.014319384,0.098740935,0.7461488544940948,50,12800,8747.082286751829,819200
128.19,2.88,93,0.012867688,0.17352295,2.303889,-0.012842084,0.089948595,0.7651205211877823,51,13056,8922.200004421175,835584
137.12,3.73,92,0.012630977,0.16465251,2.307964,-0.012043919,0.11402344,0.7378184497356415,52,13312,9100.027016331907,851968
129.09,3.32,93,0.011572541,0.15181477,2.2850442,-0.015522112,0.10073203,0.7992312461137772,53,13568,9276.185177966952,868352
125.95,2.81,93,0.013236679,0.17655437,2.2888403,-0.021966612,0.06355986,0.8383678048849106,54,13824,9451.116221672855,884736
143.82,4.0,93,0.011248312,0.14870198,2.2441633,-0.014042463,0.14987682,0.7742600440979004,55,14080,9625.44064387912,901120
158.21,3.82,93,0.010954575,0.14455159,2.2527702,-0.016722497,0.10073995,0.8003449440002441,56,14336,9800.561910357792,917504
145.91,3.47,93,0.012270574,0.16516113,2.236389,-0.017773181,0.08273854,0.8564670383930206,57,14592,9974.921403693967,933888
139.09,3.47,93,0.014615097,0.18794759,2.1928885,-0.018858323,0.10476636,0.8264121562242508,58,14848,10150.332994875032,950272
172.21,5.39,93,0.012121647,0.1628011,2.222475,-0.01650617,0.16117196,0.7712593227624893,59,15104,10325.17572850408,966656
168.39,5.05,93,0.011496037,0.1575114,2.2402174,-0.01532711,0.10743776,0.8419685065746307,60,15360,10499.853484733962,983040
164.06,4.47,93,0.013527778,0.1800944,2.2305899,-0.01913116,0.11042011,0.8371582329273224,61,15616,10674.27120657079,999424
137.13,3.33,93,0.012346834,0.1640218,2.2204678,-0.02290476,0.09434134,0.8586658239364624,62,15872,10849.146887597162,1015808
162.35,3.94,93,0.016168175,0.21008301,2.2114618,-0.022873899,0.12078085,0.8018368184566498,63,16128,11023.617207676172,1032192
158.45,4.44,93,0.010827408,0.1457723,2.1475081,-0.016002307,0.11261317,0.8403963893651962,64,16384,11198.391047632787,1048576
170.79,5.6,93,0.011514624,0.15612793,2.145955,-0.012460127,0.17132972,0.8442355543375015,65,16640,11373.157708503772,1064960
158.4,5.06,93,0.01474091,0.18629964,2.099839,-0.018888077,0.11629649,0.8787442743778229,66,16896,11547.876962545794,1081344
202.28,7.32,93,0.013658136,0.18334961,2.0786712,-0.014207779,0.15228981,0.8815578296780586,67,17152,11722.80660130689,1097728
178.44,6.34,93,0.013959496,0.17903645,2.091882,-0.018318512,0.13145183,0.8961513713002205,68,17408,11897.35282543907,1114112
193.93,6.79,93,0.016613057,0.21276855,2.088304,-0.018553508,0.14639007,0.8816404864192009,69,17664,12071.743415902834,1130496
196.52,6.71,93,0.014770706,0.18868001,2.1068275,-0.018448299,0.16410796,0.8824823275208473,70,17920,12246.461033759173,1146880
169.21,5.43,93,0.015990747,0.20084636,2.053635,-0.017291771,0.14335561,0.8793774917721748,71,18176,12420.98831296293,1163264
195.18,6.6,93,0.017206315,0.20666504,2.037161,-0.016722765,0.1343156,0.8979249596595764,72,18432,12595.81861515902,1179648
199.55,6.9,93,0.013904161,0.17698161,2.0204763,-0.018785175,0.19134462,0.8737109899520874,73,18688,12770.396135597024,1196032
184.92,6.95,93,0.015761705,0.1917928,2.0351179,-0.015938878,0.14544766,0.9078652337193489,74,18944,12945.067726485897,1212416
