eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.55,-2.51,111,0.0003645362,0.0,2.7076895,-0.0006036249,0.27927294,-0.01507425308227539,1,256,146.4259441383183,16384
85.96,-2.75,113,0.00032660787,0.0,2.7059214,-0.0004514923,0.16326877,0.04862862825393677,2,512,291.292523405049,32768
80.65,-1.63,112,0.0046818103,0.033569336,2.684488,-0.0022895737,0.129714,0.10002082586288452,3,768,437.571157053113,49152
79.35,-2.05,112,0.0028556266,0.014912923,2.671913,-0.0013030515,0.12425508,0.12797415256500244,4,1024,582.8381616510451,65536
80.67,-1.92,112,0.0036652114,0.023640951,2.6594346,-0.0014393949,0.11260113,0.24997544288635254,5,1280,728.7495367024094,81920
79.05,-1.56,111,0.004871405,0.033996582,2.630398,-0.0028715618,0.09860253,0.3667714595794678,6,1536,875.8533802800812,98304
73.3,-1.53,112,0.005366352,0.04888916,2.6089513,-0.0034968026,0.098234676,0.44810110330581665,7,1792,1021.737030392047,114688
72.16,-1.36,112,0.0031023694,0.015401204,2.6016073,-0.0032117416,0.10053405,0.5158877372741699,8,2048,1167.21311767539,131072
78.33,-1.23,112,0.0027973552,0.020446777,2.597202,-0.0033803594,0.083393484,0.5762868821620941,9,2304,1313.2261515371501,147456
76.08,-1.35,113,0.004061923,0.027160645,2.5670717,-0.0038225988,0.083567895,0.6192985773086548,10,2560,1458.1583438050002,163840
78.69,-1.57,112,0.0044996026,0.0446167,2.5802448,-0.005129932,0.08366337,0.666752815246582,11,2816,1603.9739011581987,180224
75.93,-1.26,112,0.0040563787,0.038146973,2.5628178,-0.004670546,0.08548742,0.7329283952713013,12,3072,1749.6432099342346,196608
72.35,-1.13,112,0.004780639,0.04888916,2.556915,-0.0057784487,0.058841363,0.7740449607372284,13,3328,1895.3996750302613,212992
73.59,-0.51,112,0.005913532,0.059509277,2.5142915,-0.0070653,0.05096141,0.7823846787214279,14,3584,2040.6571643780917,229376
75.51,-0.28,112,0.005569106,0.057942707,2.5314682,-0.007967474,0.051306486,0.7428416609764099,15,3840,2186.5036641051993,245760
76.52,-0.49,112,0.00618558,0.062357586,2.5475404,-0.0076762433,0.04507147,0.7216102778911591,16,4096,2332.1835048533976,262144
74.14,-0.46,112,0.0068480675,0.08235677,2.5060918,-0.006111458,0.06331847,0.6635289490222931,17,4352,2477.822758481372,278528
73.86,-0.49,112,0.0063860766,0.07531738,2.4838145,-0.010692458,0.046961937,0.7508157193660736,18,4608,2623.713749476243,294912
73.04,0.37,111,0.0072651575,0.09387207,2.4862182,-0.008314225,0.057358176,0.7197897732257843,19,4864,2770.118043671362,311296
76.49,0.26,112,0.0076847975,0.100240074,2.4874928,-0.009502119,0.04845564,0.6829676330089569,20,5120,2915.5108806113712,327680
74.89,0.06,112,0.008429724,0.10154215,2.521448,-0.010895337,0.05292726,0.72459876537323,21,5376,3060.8481538682245,344064
78.93,0.47,112,0.008817232,0.119384766,2.482214,-0.0115113845,0.050379496,0.6810289621353149,22,5632,3206.3704015952535,360448
78.92,0.55,112,0.00993341,0.12884521,2.4653208,-0.008414949,0.054776777,0.7077131569385529,23,5888,3351.5202750382014,376832
77.46,0.76,111,0.009224418,0.11891683,2.4202895,-0.009897147,0.031057373,0.8218421787023544,24,6144,3497.961218291428,393216
75.52,0.96,112,0.008686055,0.112223305,2.4146948,-0.012011978,0.036804236,0.8007217049598694,25,6400,3643.373532171361,409600
73.38,1.0,111,0.011010893,0.13968913,2.3707047,-0.011433697,0.03870472,0.8209317028522491,26,6656,3789.816196486354,425984
78.26,0.87,112,0.010013928,0.13120525,2.3866618,-0.010727428,0.033662546,0.8313185721635818,27,6912,3935.5261804643087,442368
77.4,1.37,113,0.010545353,0.13397217,2.3694131,-0.010005062,0.036714375,0.7913350462913513,28,7168,4080.3480922854505,458752
74.39,1.29,112,0.009601712,0.12738037,2.352956,-0.010661252,0.025785334,0.8609405308961868,29,7424,4225.802133863326,475136
84.78,1.46,112,0.010776196,0.14259847,2.2905252,-0.010496921,0.03567787,0.8270580768585205,30,7680,4370.976191770285,491520
84.33,1.56,113,0.011104262,0.14259847,2.3178518,-0.010186416,0.03202586,0.8795297667384148,31,7936,4515.795677946415,507904
81.91,1.48,112,0.011958875,0.15165202,2.2776601,-0.012024086,0.03030357,0.8553970754146576,32,8192,4661.925224051345,524288
84.24,1.16,112,0.014534523,0.18780518,2.219002,-0.010091724,0.034082197,0.8582418859004974,33,8448,4807.9131953390315,540672
84.94,1.36,112,0.011500266,0.14772542,2.2583866,-0.0135649005,0.0356108,0.8277565389871597,34,8704,4953.730585018173,557056
84.55,1.23,112,0.012227375,0.15594482,2.2442422,-0.010833897,0.02811147,0.8751584962010384,35,8960,5098.821818926372,573440
78.64,1.27,113,0.0128554925,0.15783691,2.2539196,-0.012574076,0.038490336,0.8654635548591614,36,9216,5243.806918518152,589824
