eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.06,-2.72,111,0.0029759856,0.021931967,2.7051837,-0.0027249649,0.55400735,-0.01614546775817871,1,256,147.05486819101498,16384
78.44,-2.12,111,0.0039286255,0.032511394,2.6883652,-0.0021076798,0.16598271,0.07928776741027832,2,512,293.5702551729046,32768
80.5,-1.79,111,0.0032313105,0.016377768,2.6804848,-0.0026336291,0.1415535,0.2912883162498474,3,768,440.62467405805364,49152
75.73,-1.83,111,0.003742262,0.012797038,2.6632092,-0.0015374925,0.13719954,0.4056577682495117,4,1024,587.868517590221,65536
72.97,-1.23,111,0.00374287,0.032348633,2.645715,-0.0028266981,0.12791072,0.5015964508056641,5,1280,734.5032676928677,81920
72.95,-1.14,111,0.003742855,0.03668213,2.6182833,-0.0025585028,0.10056868,0.5484389662742615,6,1536,881.0964561281726,98304
73.81,-1.11,110,0.0048482553,0.041015625,2.5733166,-0.0028941669,0.09281814,0.640462338924408,7,1792,1029.1048168139532,114688
73.53,-1.47,111,0.0048086825,0.03129069,2.5527265,-0.003174071,0.08321128,0.7050696909427643,8,2048,1176.3384594758973,131072
72.97,-1.04,111,0.004606098,0.03873698,2.5798905,-0.005577892,0.06468237,0.7490279376506805,9,2304,1323.2743938211352,147456
75.24,-1.22,112,0.0045245565,0.043965656,2.5754306,-0.0046768556,0.07519617,0.7977593094110489,10,2560,1469.2885429719463,163840
73.3,-1.43,111,0.0047963173,0.04707845,2.5696037,-0.005857972,0.058962088,0.8465634137392044,11,2816,1616.7167625348084,180224
73.79,-1.0,111,0.0049979324,0.057678223,2.5562928,-0.0080466075,0.062383026,0.7738063633441925,12,3072,1763.7395905829035,196608
71.46,-0.89,111,0.0054612085,0.060750324,2.5397527,-0.008393236,0.050358225,0.8359504789113998,13,3328,1910.3406629869714,212992
73.74,-0.41,111,0.004934479,0.053568523,2.5295336,-0.008285969,0.048436493,0.7396367490291595,14,3584,2057.329434105195,229376
73.09,-0.16,112,0.006411532,0.073791504,2.5429256,-0.009479639,0.04599589,0.7638202607631683,15,3840,2203.592965772841,245760
82.02,0.0,111,0.005556992,0.06323242,2.5277119,-0.008314038,0.0512518,0.844378873705864,16,4096,2350.4358607800677,262144
75.11,0.04,111,0.006743839,0.082092285,2.5465465,-0.008335072,0.071800105,0.7741567641496658,17,4352,2497.2539534932002,278528
77.59,0.23,112,0.0071761236,0.089131676,2.532327,-0.009002865,0.058997083,0.762384906411171,18,4608,2643.4594338848256,294912
77.52,0.24,111,0.0071423785,0.08894857,2.5248492,-0.010495917,0.053454343,0.7671938836574554,19,4864,2790.5240534208715,311296
73.44,0.13,111,0.006650541,0.07887777,2.5241327,-0.009488332,0.048148423,0.8256156295537949,20,5120,2937.5110486429185,327680
75.43,0.09,111,0.007995162,0.106282555,2.5164335,-0.012003527,0.056023255,0.8076197654008865,21,5376,3084.2965938919224,344064
74.53,0.18,111,0.008676265,0.11301676,2.54391,-0.01114193,0.061969552,0.743632435798645,22,5632,3231.171565580182,360448
76.9,0.38,111,0.007860213,0.09942627,2.5374615,-0.0095647415,0.073867254,0.7311230599880219,23,5888,3378.494341786951,376832
74.91,0.35,111,0.0077644526,0.09678141,2.5196722,-0.0102003785,0.058943626,0.7302858829498291,24,6144,3525.7995669827797,393216
80.25,0.86,112,0.008343746,0.110066734,2.5293233,-0.0118781915,0.05323119,0.7365716397762299,25,6400,3671.967793317046,409600
74.8,0.97,111,0.00826348,0.103027344,2.488972,-0.011388003,0.05102526,0.7614825665950775,26,6656,3818.881554939784,425984
76.32,0.92,110,0.00816531,0.106913246,2.469386,-0.011779822,0.033005476,0.8357907086610794,27,6912,3966.607440339867,442368
75.29,1.19,111,0.009016697,0.11177572,2.481373,-0.013279711,0.03519877,0.8408410400152206,28,7168,4113.578929912765,458752
77.92,0.72,111,0.009463659,0.123168945,2.4583647,-0.013397629,0.0493964,0.8423589617013931,29,7424,4260.298082325142,475136
78.62,0.8,111,0.011065817,0.14296468,2.4793441,-0.013088755,0.045396473,0.8713884502649307,30,7680,4407.379739666823,491520
83.67,1.01,111,0.008886235,0.11354574,2.4714327,-0.013573824,0.042965606,0.8306019455194473,31,7936,4554.795624287799,507904
77.82,1.01,111,0.011396253,0.1496989,2.4659245,-0.011794944,0.034104344,0.8677935898303986,32,8192,4701.129525354132,524288
81.6,1.16,111,0.011145175,0.14807129,2.4773312,-0.0135916555,0.045988042,0.794327586889267,33,8448,4848.318785930984,540672
85.73,1.1,111,0.010287943,0.13600667,2.471961,-0.015796004,0.042587355,0.8421011865139008,34,8704,4995.446352866013,557056
79.39,1.27,111,0.010692064,0.1381836,2.455887,-0.01446953,0.03627327,0.872424453496933,35,8960,5142.0923422728665,573440
89.49,1.11,112,0.012969907,0.15956624,2.4183185,-0.015362881,0.044817775,0.8561391234397888,36,9216,5288.259107957128,589824
