eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.65,-1.8,111,0.00042371685,0.0,2.7076387,-0.0005306038,0.40623367,-0.005032658576965332,1,256,146.7731792558916,16384
78.25,-2.42,111,0.0015722433,0.0045572915,2.7035635,-0.0017987884,0.17345643,0.07952755689620972,2,512,293.84027871116996,32768
75.87,-2.39,111,0.0029139144,0.018758139,2.6834219,-0.0013183682,0.16522844,0.13601219654083252,3,768,440.6009263759479,49152
79.27,-1.71,112,0.00399658,0.03342692,2.652672,-0.0022972452,0.1140407,0.16111993789672852,4,1024,586.6031675911509,65536
79.45,-2.86,111,0.0031963855,0.01969401,2.646212,-0.0024783139,0.14311467,0.3108874559402466,5,1280,733.781857504975,81920
78.06,-1.51,112,0.004360841,0.029724121,2.640576,-0.004294694,0.119186096,0.37824708223342896,6,1536,879.4776096977293,98304
77.21,-1.36,111,0.004619409,0.048258465,2.6479542,-0.0059756935,0.08304765,0.4519914984703064,7,1792,1025.8851297297515,114688
76.06,-1.76,111,0.0036827074,0.03112793,2.6359081,-0.0049939635,0.1030837,0.5023567974567413,8,2048,1172.3027309770696,131072
80.08,-0.69,112,0.0040761745,0.042114258,2.6236908,-0.0068829353,0.07241104,0.605992317199707,9,2304,1318.0366519698873,147456
75.24,-1.01,111,0.0054496354,0.05940755,2.6150384,-0.008171162,0.06328293,0.6736952364444733,10,2560,1464.9560493719764,163840
77.08,-0.47,112,0.005481998,0.06032308,2.609197,-0.007516743,0.068994865,0.6682460606098175,11,2816,1610.5673790350556,180224
80.46,-0.73,111,0.0056108893,0.063191734,2.6071343,-0.007327756,0.059948478,0.6967045068740845,12,3072,1758.035575915128,196608
77.72,-0.72,111,0.0053992947,0.06465658,2.6003754,-0.009108178,0.075821996,0.6400847434997559,13,3328,1905.005599198863,212992
82.59,0.23,112,0.0070449947,0.09183756,2.5828984,-0.009426558,0.063571446,0.6929504573345184,14,3584,2051.1911081550643,229376
78.99,-0.07,112,0.005978461,0.070251465,2.5556235,-0.009925005,0.058213603,0.7316202819347382,15,3840,2196.747420827858,245760
85.1,-0.38,112,0.008421727,0.11110433,2.529894,-0.009178801,0.067953594,0.6493112444877625,16,4096,2342.133184073027,262144
79.61,0.64,112,0.0073989877,0.09527588,2.5483296,-0.010975198,0.047210842,0.617954283952713,17,4352,2488.17511743214,278528
79.07,0.37,111,0.006446624,0.080607094,2.5169919,-0.0105325505,0.047350492,0.6482844054698944,18,4608,2634.6232783999294,294912
81.61,0.77,111,0.0072373264,0.09313965,2.492889,-0.012089156,0.043964516,0.5717104077339172,19,4864,2781.01919888705,311296
79.06,0.95,112,0.0076160817,0.093444824,2.4836886,-0.011635195,0.037843984,0.63392773270607,20,5120,2926.4728865041398,327680
85.14,0.79,112,0.0077082776,0.098490395,2.4722917,-0.011885427,0.04868194,0.6323840022087097,21,5376,3072.575829100795,344064
88.73,1.36,111,0.0061813123,0.07346598,2.4685562,-0.012055672,0.027541732,0.7099676132202148,22,5632,3219.7799474610947,360448
77.39,0.8,112,0.0084287515,0.109313965,2.4450529,-0.013470855,0.039839245,0.6971970796585083,23,5888,3365.93793533789,376832
80.3,1.03,112,0.010896668,0.14998372,2.42458,-0.00990635,0.03238024,0.7126669883728027,24,6144,3511.7514764708467,393216
83.96,1.03,111,0.010470193,0.14208984,2.3813472,-0.012468348,0.045522545,0.700770378112793,25,6400,3658.109124844894,409600
82.37,1.43,111,0.010560993,0.13979085,2.3673165,-0.012275148,0.030720534,0.7701966762542725,26,6656,3805.0186498351395,425984
84.99,1.57,111,0.010256251,0.1358846,2.3889706,-0.011499763,0.043107703,0.7285861670970917,27,6912,3951.701962708961,442368
85.06,1.51,110,0.01324357,0.17392986,2.3808963,-0.009268981,0.033371016,0.795069694519043,28,7168,4099.723934854846,458752
