eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.58,-2.38,112,0.0005364126,0.0,2.707534,-0.00082545885,0.3665727,-0.002241373062133789,1,256,145.34477112581953,16384
85.72,-3.35,113,0.0014188867,0.0028279622,2.7010148,-0.00076231576,0.1928247,0.09529447555541992,2,512,289.97751735616475,32768
78.98,-2.06,112,0.0011938037,0.00091552734,2.6969156,-0.000869459,0.12762137,0.19989818334579468,3,768,435.51073430478573,49152
76.48,-2.09,112,0.004022263,0.021891275,2.6807308,-0.0027992602,0.11825901,0.3273897171020508,4,1024,580.6986327650957,65536
76.44,-1.8,111,0.0037127165,0.019734701,2.6695583,-0.001648637,0.123306476,0.40241777896881104,5,1280,727.5183065608144,81920
77.69,-1.55,112,0.004282759,0.02492269,2.6581318,-0.0037982035,0.094571464,0.5102593302726746,6,1536,873.084359779954,98304
78.16,-1.13,112,0.003204663,0.022420248,2.6455228,-0.0040961923,0.073404334,0.5902873575687408,7,1792,1018.6026294738986,114688
77.53,-1.32,112,0.005324382,0.06052653,2.6350954,-0.0061051436,0.08451476,0.5899307429790497,8,2048,1163.7444679248147,131072
73.09,-1.06,112,0.004929166,0.054280598,2.620256,-0.005523259,0.06927323,0.6711471676826477,9,2304,1309.6182822920382,147456
76.28,-0.57,112,0.0041705784,0.034362793,2.6246293,-0.005896792,0.077256784,0.7041859030723572,10,2560,1455.4209657358006,163840
78.36,-0.65,112,0.0032262122,0.02195231,2.6269789,-0.005000424,0.075616285,0.6560146808624268,11,2816,1601.2534865401685,180224
77.86,-0.55,112,0.0042809113,0.04642741,2.6191154,-0.006957572,0.07227074,0.6684906482696533,12,3072,1747.03076847177,196608
81.69,-0.14,112,0.0060298685,0.06593832,2.616597,-0.008144633,0.059460696,0.6062349677085876,13,3328,1892.926845796872,212992
81.74,-0.51,112,0.0061076456,0.06719971,2.6125252,-0.010196734,0.07748912,0.6589809060096741,14,3584,2038.399015845731,229376
76.49,-0.06,112,0.0050861444,0.056986492,2.6018984,-0.008626469,0.06924994,0.6374840438365936,15,3840,2184.17712205695,245760
75.35,-0.01,112,0.0077499268,0.104268394,2.5842507,-0.009769795,0.064390324,0.6481411755084991,16,4096,2329.688657564111,262144
82.92,0.23,112,0.007491434,0.08992513,2.5652974,-0.0111979395,0.05870424,0.6453700363636017,17,4352,2475.4028068748303,278528
75.72,0.58,112,0.0070050894,0.08872477,2.5505111,-0.011158191,0.043305602,0.6680624783039093,18,4608,2620.631551230792,294912
