eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
85.9,-2.15,94,0.00025486233,0.0,2.7077959,-0.00047711888,0.30843934,0.012659788131713867,1,256,173.18629032187164,16384
83.51,-2.32,94,0.0005639219,8.138021e-05,2.7058299,-0.0006670452,0.18599904,0.09410274028778076,2,512,346.0636285645887,32768
75.18,-2.03,94,0.0025259822,0.0041910806,2.6949673,-0.0014551231,0.1500947,0.206387460231781,3,768,519.0646356446669,49152
77.75,-1.57,94,0.0030170034,0.015686035,2.6785765,-0.0021079818,0.14797896,0.32085973024368286,4,1024,691.5412997077219,65536
77.6,-1.67,94,0.0021376188,0.014851888,2.6691532,-0.0031432088,0.101442695,0.42250335216522217,5,1280,864.0341458497569,81920
76.7,-1.23,94,0.0041649654,0.04477946,2.661362,-0.006423048,0.08435115,0.511385589838028,6,1536,1037.0763296098448,98304
78.95,-1.08,94,0.004122147,0.03788249,2.6522903,-0.0061884294,0.06792068,0.5473434031009674,7,1792,1210.0082697439939,114688
78.86,-1.33,94,0.0036421884,0.030680338,2.6479042,-0.0047091483,0.07532118,0.5986814200878143,8,2048,1382.836971373763,131072
75.19,-0.63,95,0.0045546773,0.046569824,2.6393673,-0.007863325,0.076111265,0.5984522998332977,9,2304,1555.1930811107159,147456
77.37,-0.58,94,0.00525672,0.06213379,2.6260552,-0.0063965903,0.070708044,0.609504908323288,10,2560,1728.148158828728,163840
85.11,0.18,95,0.005045402,0.05741374,2.6295195,-0.0064335703,0.05436932,0.5869081914424896,11,2816,1900.5759571557865,180224
76.7,-0.11,94,0.005641704,0.06447347,2.600771,-0.008125463,0.05881463,0.669201135635376,12,3072,2073.506298509892,196608
76.19,-0.34,94,0.0053998996,0.06341553,2.6027958,-0.009760574,0.07472209,0.6446654498577118,13,3328,2246.598982303869,212992
82.12,0.27,94,0.0053013465,0.059448242,2.589945,-0.009614463,0.053891238,0.6551602482795715,14,3584,2419.117127818987,229376
78.37,0.7,94,0.0057003815,0.06129964,2.587042,-0.009551194,0.04947609,0.5135751664638519,15,3840,2591.9726403248496,245760
80.79,0.47,94,0.0070966487,0.09285482,2.5920546,-0.008410809,0.055079598,0.5878616571426392,16,4096,2764.9356160969473,262144
79.6,0.43,94,0.006033395,0.07519531,2.5738456,-0.011905141,0.043579917,0.5881640613079071,17,4352,2937.948215004988,278528
84.29,0.78,94,0.008048334,0.10557047,2.5771048,-0.007755006,0.045217488,0.6141241192817688,18,4608,3110.7906031575985,294912
80.5,0.41,95,0.008108098,0.10247803,2.5838919,-0.010602447,0.059317406,0.6171346008777618,19,4864,3283.23193261493,311296
90.01,0.97,94,0.007811664,0.10131836,2.5556545,-0.009498257,0.04811689,0.6143322587013245,20,5120,3456.3108666697517,327680
85.86,0.73,94,0.008740624,0.105285645,2.548015,-0.01040749,0.049052283,0.6754544973373413,21,5376,3629.0054647028446,344064
85.17,0.93,94,0.008342977,0.106770836,2.5223877,-0.01271888,0.04827164,0.6457945704460144,22,5632,3801.923386578914,360448
82.51,1.26,95,0.009024265,0.11303711,2.5299942,-0.011800148,0.045656,0.6682327091693878,23,5888,3974.326828388963,376832
83.87,0.66,94,0.009136503,0.1239624,2.4957004,-0.014451374,0.053727463,0.6596220433712006,24,6144,4147.192672439851,393216
84.86,1.25,94,0.01218159,0.14772542,2.5173717,-0.008013691,0.044729576,0.753412738442421,25,6400,4320.000214252621,409600
82.99,1.43,94,0.011954407,0.15315755,2.4869864,-0.009341776,0.044979244,0.7431060969829559,26,6656,4492.660219923593,425984
78.61,1.04,94,0.010563556,0.14211018,2.5098174,-0.011968311,0.039513506,0.7335821092128754,27,6912,4665.351370691787,442368
91.03,1.58,94,0.008872304,0.1104126,2.4796326,-0.012859858,0.04209603,0.7597232013940811,28,7168,4838.185538509861,458752
89.37,1.83,94,0.010866106,0.14217122,2.46675,-0.01368356,0.047899187,0.7570505291223526,29,7424,5010.942947288975,475136
90.34,1.62,94,0.010780312,0.13667805,2.459213,-0.012401827,0.048359852,0.7629465460777283,30,7680,5183.73520847084,491520
82.19,1.43,94,0.010890423,0.1416626,2.4498482,-0.013014007,0.03534776,0.8115413933992386,31,7936,5356.517473978922,507904
86.22,1.64,94,0.014628368,0.19085693,2.397144,-0.010690843,0.045437153,0.8190913200378418,32,8192,5529.832746337634,524288
89.69,1.82,94,0.010733403,0.14506023,2.4012854,-0.015346051,0.03665818,0.846398651599884,33,8448,5702.370117155835,540672
86.47,1.9,94,0.012112043,0.15563965,2.3960674,-0.014999262,0.03315335,0.8668491542339325,34,8704,5875.111948679667,557056
86.34,1.73,94,0.011386822,0.13722737,2.3577805,-0.0131386975,0.03679462,0.8630296289920807,35,8960,6048.027853493579,573440
97.0,2.31,94,0.011797596,0.15419514,2.3608246,-0.013680823,0.03680155,0.8712276369333267,36,9216,6220.914793893695,589824
90.21,2.05,94,0.011904043,0.16123454,2.3940828,-0.014695789,0.031242223,0.8826255649328232,37,9472,6393.720403665677,606208
82.97,1.8,94,0.011080894,0.13777669,2.3933809,-0.012345512,0.03279472,0.8775904178619385,38,9728,6566.267576780636,622592
93.9,2.1,94,0.011085105,0.13635254,2.397457,-0.013011374,0.036020767,0.8654698580503464,39,9984,6739.098409713712,638976
83.37,1.75,94,0.012594521,0.15767415,2.4309657,-0.013091326,0.04293188,0.8573902994394302,40,10240,6911.807627710979,655360
84.98,2.19,95,0.011331205,0.14748128,2.3896656,-0.013460697,0.032558348,0.8929200768470764,41,10496,7084.089491705876,671744
89.95,1.85,94,0.013824209,0.17207845,2.4069395,-0.012799167,0.04094929,0.8711947202682495,42,10752,7256.664572116919,688128
94.22,2.42,94,0.0114545785,0.15297444,2.3822916,-0.015528522,0.035436314,0.8950197920203209,43,11008,7429.5991188259795,704512
95.21,2.51,94,0.012896159,0.16666667,2.3668694,-0.0145442,0.043963034,0.8711471557617188,44,11264,7602.405995188747,720896
90.17,1.82,94,0.012912276,0.16320801,2.3546755,-0.0155596845,0.04111761,0.8805026188492775,45,11520,7775.23931230884,737280
92.76,2.45,94,0.014594056,0.19108073,2.3383465,-0.013921062,0.03357271,0.9101205840706825,46,11776,7947.954286177643,753664
102.05,2.67,94,0.012681794,0.15281169,2.3591666,-0.011718862,0.04389407,0.8627105057239532,47,12032,8120.877567825839,770048
98.25,2.38,94,0.013051727,0.17016602,2.3435504,-0.015156369,0.0388359,0.8993507102131844,48,12288,8293.831046643667,786432
93.03,2.44,94,0.011184729,0.13830566,2.331324,-0.011944804,0.049731478,0.9133369401097298,49,12544,8467.333894585725,802816
95.29,1.98,94,0.012735583,0.16335042,2.3269613,-0.017431127,0.04535011,0.8818962648510933,50,12800,8639.875869867858,819200
102.8,2.67,94,0.012883523,0.16345215,2.3417149,-0.016566359,0.03657783,0.9050446227192879,51,13056,8812.639813075773,835584
97.92,2.69,94,0.013550454,0.17405193,2.321726,-0.017580679,0.025626535,0.9396124519407749,52,13312,8985.583597925026,851968
98.08,2.45,94,0.014418986,0.19032796,2.3176024,-0.018881014,0.03777893,0.8937644958496094,53,13568,9158.174060074612,868352
91.66,2.29,94,0.012950666,0.15964763,2.300281,-0.017206201,0.035734046,0.9179758504033089,54,13824,9330.876985120587,884736
100.34,2.47,94,0.01420876,0.18436687,2.2790701,-0.01826787,0.056949075,0.8956384062767029,55,14080,9504.026571300812,901120
108.61,2.67,94,0.01450606,0.18629964,2.3087363,-0.0125484625,0.04478556,0.9122669994831085,56,14336,9676.748621855862,917504
111.13,2.74,94,0.012496357,0.166097,2.2893448,-0.0136486245,0.04324089,0.9430030584335327,57,14592,9849.423215632793,933888
112.71,3.2,94,0.011203754,0.14742024,2.2563517,-0.015876137,0.040039297,0.9305692091584206,58,14848,10022.070447381586,950272
109.61,2.59,94,0.01594553,0.19698079,2.2401142,-0.014894619,0.045807343,0.9353543668985367,59,15104,10194.732752892654,966656
123.37,3.61,94,0.014262642,0.17529297,2.1994402,-0.01685206,0.050927892,0.9149619117379189,60,15360,10367.367951266002,983040
114.11,3.16,94,0.014695278,0.18924968,2.2031276,-0.017153418,0.037400503,0.9371840283274651,61,15616,10540.110923644621,999424
