eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.8,-3.1411765,109,0.00027513376,0.0,2.7077506,-0.0008211489,0.4154028,-0.015778303146362305,1,256,74.96549025317654,8192
82.88,-2.07,110,0.00015059536,0.0,2.7077286,-0.00035820148,0.15938957,-0.011817693710327148,2,512,149.20615272410214,16384
78.48,-2.35,111,5.5896282e-05,0.0,2.7077198,-0.00034275473,0.17089398,0.01952970027923584,3,768,222.95675644092262,24576
80.41,-2.48,109,0.0008214179,0.0024820964,2.7060697,-0.0017000664,0.1374081,0.06549078226089478,4,1024,297.4535295320675,32768
85.75,-1.9,110,0.0022979688,0.012329102,2.6949017,-0.0030860363,0.117424704,0.18744605779647827,5,1280,371.3875610833056,40960
79.96,-1.66,111,0.0030780744,0.020751953,2.6820755,-0.0042745653,0.13580194,0.24651026725769043,6,1536,445.0404291092418,49152
82.89,-2.02,111,0.0035345107,0.03572591,2.6664937,-0.0066054706,0.10522518,0.36288464069366455,7,1792,518.8394863163121,57344
76.64,-1.86,110,0.0035815008,0.035441082,2.6654801,-0.006534368,0.108419985,0.3861231803894043,8,2048,592.6745257773437,65536
78.5,-1.04,110,0.0023412558,0.017700195,2.6661437,-0.007128118,0.08673668,0.49704664945602417,9,2304,666.596418260131,73728
81.48,-1.54,111,0.004581352,0.047729492,2.6607578,-0.009175685,0.079601645,0.5593663156032562,10,2560,740.1532552139834,81920
76.19,-0.35,110,0.0051217703,0.060221355,2.656259,-0.011206628,0.060011983,0.5793002545833588,11,2816,814.0285905529745,90112
81.68,-1.6,110,0.0044334247,0.045450848,2.6636257,-0.010796144,0.11160904,0.4796517491340637,12,3072,888.0214521340095,98304
76.8,-1.4,111,0.0056624915,0.0715332,2.6520526,-0.013265009,0.09508201,0.4749531149864197,13,3328,961.6048809722997,106496
76.79,-1.29,110,0.0064994222,0.079833984,2.6413991,-0.014378791,0.075067095,0.5315099358558655,14,3584,1035.5969275273383,114688
