eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.6144578313253,-2.7349398,111,0.0009955756,0.0011800131,2.7070425,-0.0024162747,0.37195686,-0.013270378112792969,1,256,73.53768310137093,8192
85.37,-2.81,112,0.0045474935,0.029012045,2.691145,-0.0043941815,0.16376077,0.12142151594161987,2,512,146.72738087829202,16384
80.58,-2.32,111,0.0054649673,0.044881184,2.6690722,-0.0036833975,0.120475225,0.3053911328315735,3,768,220.09003282291815,24576
80.27,-2.35,112,0.0022848006,0.005330404,2.6821032,-0.0014489098,0.128691,0.23078370094299316,4,1024,293.2127693439834,32768
79.86,-0.8,111,0.0040923483,0.036376953,2.6664546,-0.0035423206,0.069913164,0.4276098608970642,5,1280,366.70588472718373,40960
76.05,-1.74,111,0.003019468,0.020141602,2.6510327,-0.0035507504,0.118038684,0.47068822383880615,6,1536,440.0307211750187,49152
73.38,-1.74,112,0.003563007,0.027547201,2.6449447,-0.005246905,0.10285216,0.5458503663539886,7,1792,512.9422389599495,57344
79.22,-1.16,111,0.004135043,0.03515625,2.63848,-0.0054935813,0.09841674,0.5801613032817841,8,2048,586.2205633139238,65536
76.74,-1.37,112,0.003533053,0.024129232,2.633851,-0.006115306,0.09546766,0.6645413041114807,9,2304,658.9205465819687,73728
73.03,-0.98,111,0.0050482773,0.05122884,2.6247807,-0.008397182,0.07590593,0.6539127826690674,10,2560,732.0913014439866,81920
80.54,-1.08,111,0.00526615,0.0592041,2.637588,-0.0065698996,0.1011737,0.6203836798667908,11,2816,805.4243791899644,90112
74.51,-0.57,111,0.0046934667,0.04239909,2.6173007,-0.0072948807,0.08324812,0.5803017914295197,12,3072,878.6904373653233,98304
74.25,-0.61,112,0.0049383724,0.05029297,2.6141264,-0.00890978,0.066592894,0.6537345945835114,13,3328,951.782609750051,106496
