eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
85.29,-2.52,224,0.002754973,0.01159668,2.7053368,-0.0016040929,0.3256649,-0.08994925022125244,1,256,73.14235400408506,16384
85.23,-1.95,280,0.0019215982,0.0,2.696206,-0.0007442883,0.2185492,-0.01873040199279785,2,512,132.2933116820641,32768
84.83,-3.2,280,0.0027976064,0.017964682,2.6832912,-0.0016063069,0.20649232,-0.007753849029541016,3,768,190.76388494390994,49152
77.95,-2.36,280,0.0012550306,0.0006306966,2.664211,-0.00055614853,0.17995793,-0.007447600364685059,4,1024,249.07203762605786,65536
80.32,-1.55,281,0.0021742925,0.012207031,2.654603,-0.00097064534,0.15214573,-0.0029878616333007812,5,1280,307.2854414237663,81920
78.03,-1.76,282,0.0019709163,0.007120768,2.6439497,-0.0007138644,0.15319687,-0.0030480623245239258,6,1536,365.36907512601465,98304
76.84,-1.56,282,0.0016137641,0.002298991,2.6217453,-0.0012389608,0.16054112,-0.00426328182220459,7,1792,423.42618855508044,114688
78.03,-1.56,282,0.002632226,0.015177409,2.5922136,-0.0013738285,0.15176153,-0.0022842884063720703,8,2048,481.4639199478552,131072
75.46,-1.58,282,0.0026832325,0.014506022,2.5809112,-0.0013620304,0.14068627,-0.00019288063049316406,9,2304,539.4227627348155,147456
78.27,-2.02,282,0.0018631932,0.0,2.5575998,-0.0011298927,0.1495221,0.001704871654510498,10,2560,597.4436846598983,163840
77.94,-1.98,282,0.0011974109,0.0048217773,2.5299857,-0.000590334,0.1430295,0.008918285369873047,11,2816,655.4414086621255,180224
74.68,-1.45,283,0.0015444998,0.0065714517,2.518335,-0.0012158331,0.15255804,0.006062924861907959,12,3072,713.3163152509369,196608
76.55,-1.47,282,0.0022811044,0.014465332,2.5040832,-0.000987928,0.12634942,0.01164788007736206,13,3328,771.3882182650268,212992
79.59,-1.32,282,0.001070548,0.0,2.5086458,-0.0003199135,0.13062082,0.00700688362121582,14,3584,829.3951025339775,229376
79.2,-1.52,282,0.0016636406,0.010864258,2.5088418,-0.00087108003,0.13201691,0.013840675354003906,15,3840,887.3414332969114,245760
71.92,-2.16,282,0.0022761005,0.018534342,2.5385683,-0.0010826319,0.15352698,0.00905454158782959,16,4096,945.3224870110862,262144
77.55,-1.28,283,0.0019653018,0.0018920898,2.5623162,-0.00043534886,0.13062541,0.008334159851074219,17,4352,1003.171346697025,278528
73.14,-1.42,282,0.0012194805,0.00040690103,2.5729148,-0.00062168675,0.1486931,0.0012638568878173828,18,4608,1061.2455060780048,294912
73.82,-1.65,282,0.0013053265,0.0,2.555274,-0.00077413634,0.14769794,0.015366971492767334,19,4864,1119.1523359511048,311296
75.96,-1.77,282,0.0031274308,0.031555176,2.5438511,-0.0019962296,0.1467192,0.01377338171005249,20,5120,1177.17828486301,327680
71.84,-1.49,282,0.0027055873,0.010477702,2.5241315,-0.0015160753,0.14003958,0.02030313014984131,21,5376,1235.2644548099488,344064
